Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
2032;Aubigny-aux-Kaisnes;11.9;33.8;30.5;11.9
2033;Aubigny-en-Laonnois;0;50;50;0
2034;Audignicourt;0;0;0;0
2035;Audigny;0;12.3;12.7;24.5
2036;Augy;0;0;0;0
2037;Aulnois-sous-Laon;9.8;36.3;35.3;0
2038;Les Autels;0;0;0;0
2039;Autremencourt;0;0;33.3;0
2040;Autreppes;0;33.2;16.9;0
2041;Autreville;0;65.6;0;20.7
2042;Azy-sur-Marne;20.6;6.8;45.4;13.8
2043;Bagneux;100;0;0;0
2044;Bancigny;0;0;0;11.9
2046;Barenton-Bugny;24.6;21.6;10.1;1.5
2047;Barenton-Cel;0;25;25;50
2048;Barenton-sur-Serre;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2049;Barisis-aux-Bois;5.9;25.4;38.5;0
2050;Barzy-en-Thiérache;0;40;19.9;0
2051;Barzy-sur-Marne;0;17.8;40.7;5.9
2052;Bassoles-Aulers;0;32.3;0;0
2053;Vallées en Champagne;0;0;56.9;6.7
2054;Bazoches-et-Saint-Thibaut;0;38.5;17.1;22.9
2055;Beaumé;33.2;0;33.9;0
2056;Beaumont-en-Beine;0;0;0;100
2057;Beaurevoir;11;31.2;37.4;7.7
2058;Beaurieux;2.5;42.6;24.7;14.2
2059;Beautor;3.7;29.9;41.8;4.3
2060;Beauvois-en-Vermandois;7.4;7.4;57;0
2061;Becquigny;0;65.9;0;0
2062;Belleau;33.7;34.3;32;0
2063;Bellenglise;0;40.3;19.7;20
2064;Belleu;11.1;34.4;13.8;10.7
2065;Bellicourt;7.4;27.6;18.8;19.4
2066;Benay;0;9.4;33.6;0
2067;Bergues-sur-Sambre;0;25;25;25
2068;Berlancourt;0;25.9;25.3;24.4
2069;Berlise;0;0;0;0
2070;Bernot;0;33.5;33.3;16.8
2071;Berny-Rivière;2.5;30;48.6;8.5
2072;Berrieux;0;0;35.3;0
2073;Berry-au-Bac;11;26.6;26.4;10.4
2074;Bertaucourt-Epourdon;0;12.7;13;11.7
2075;Berthenicourt;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2076;Bertricourt;0;55.5;44.5;0
2078;Besmé;0;0;100;0
2079;Besmont;0;25;49.9;0
2080;Besny-et-Loizy;0;66.6;33.4;0
2081;Béthancourt-en-Vaux;0;17.1;0;16.3
2082;Beugneux;0;0;25;75
2083;Beuvardes;5.7;16.6;17.1;27.7
2084;Bézu-le-Guéry;0;17.4;16;0
2085;Bézu-Saint-Germain;3.5;20.2;42.1;6.7
2086;Bichancourt;0;39.1;25.2;5.1
2087;Bieuxy;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2088;Bièvres;0;100;0;0
2089;Billy-sur-Aisne;4.2;10.9;50.6;8
2090;Billy-sur-Ourcq;0;0;27.1;0
2091;Blanzy-lès-Fismes;0;0;33.4;0
2093;Blérancourt;9.2;29.2;21.4;12.5
2094;Blesmes;0;15.8;45.8;19.4
2095;Bohain-en-Vermandois;10;35.9;29.8;5.4
2096;Bois-lès-Pargny;0;0;57.1;14.3
2097;Boncourt;0;9.5;54.9;8.8
2098;Bonneil;20.3;26.2;20.2;14.3
2099;Bonnesvalyn;0;0;0;100
2100;Bony;0;19.2;26.6;0
2101;Bosmont-sur-Serre;0;50;0;50
2102;Bouconville-Vauclair;9.8;19.2;36.1;18.8
2103;Boué;9.2;7.6;56.3;0.4
2104;Bouffignereux;0;0;66.6;0
2105;Bouresches;0;20.1;30.5;9.9
2106;Bourg-et-Comin;2.1;60.7;18.6;0
2107;Bourguignon-sous-Coucy;0;50;0;50
2108;Bourguignon-sous-Montbavin;0;0;0;0
2109;La Bouteille;0;13.7;58.8;9.1
2110;Braine;11.7;34.5;24.5;7.9
2111;Brancourt-en-Laonnois;0;44.7;31.7;10.7
2112;Brancourt-le-Grand;1.6;29.9;19;19.5
2114;Brasles;3.9;40.8;30.6;6.1
2115;Braye-en-Laonnois;23.7;0;60.4;0
2116;Braye-en-Thiérache;0;24.1;0;75.9
2117;Bray-Saint-Christophe;33.6;0;66.4;0
