GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
2B122;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;84.5763
2A278;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;268.561
2B337;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;150.183
2B350;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;165.957
2B123;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;3843.52
2A064;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;25
2A065;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1899.24
2A312;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;336.139
2A279;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;163.883
2B338;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;47.9655
2B124;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;494.759
2B339;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;51.1953
2B352;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;236.862
2B125;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;45.4977
2A066;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;80.1754
2B353;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2133.47
2B126;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;82.8824
2A100;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;107.906
2B140;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;166.227
2A295;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;182.391
2B354;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;383.275
2B355;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;234.059
2A330;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;440.715
2B356;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;157.986
2A103;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1094.32
2A331;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;58.9111
2A104;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;724.791
2B143;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2167.82
2A085;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;834.925
2B145;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;218.145
2B147;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;222.212
2A108;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;422.15
2B161;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;121.738
2A089;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;149.023
2B148;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;3398.5
2A336;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;254.82
2B149;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;73
2B162;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;622.92
2A351;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;327.887
2B164;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;49.04
2B165;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;278.945
2A127;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;96.0104
2B166;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;410.153
2A128;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;108.328
2B167;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;469.741
2B180;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;118.694
2A141;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;311.401
2A129;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;117.174
2B168;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1931.06
2B201;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;164
2A142;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;752.089
2B182;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;343.701
2B202;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;36.4672
2A357;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;112.105
2B169;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;682.86
2A144;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;132.425
2A358;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;75.4423
2B183;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;139.5
2A359;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;261.952
2B184;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;84.4516
2A146;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;71.3749
2B185;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1361.01
2B205;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;729.731
2A160;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;248.295
2B206;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;47.554
2B220;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;120.537
2B187;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;162.883
2B207;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2300.35
2B208;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;65.2131
