C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
505.936;742.399;2292.97;1935.37;315
1160.26;835.938;2107.86;1290.19;316
425.995;787.864;2708.21;2334.54;317
414.518;694.268;2187.43;2411.37;318
527.907;662.076;1647.39;2422.56;319
765.126;862.96;2080.67;2317.96;320
359.152;493.739;1804.33;3031.49;321
270.55;364.559;1963.91;2187.38;322
583.95;637.402;2307.45;2012.19;323
632.189;746.048;1919.52;2202.86;324
984.486;901.768;1733.84;1131.55;325
504.433;897.377;1918.03;1862.96;326
705.016;629.251;1947.77;1708.91;327
466.649;699.051;1770.68;2026.88;328
623.6;541.75;1827.21;1892.7;329
527.591;507.708;1775.45;1644.76;330
694.274;490.283;1938.95;2066.62;331
568.016;894.32;2287.05;2931.32;332
687.67;402.126;1846.11;2297.91;333
786.594;654.401;1663.59;1728.91;334
646.103;973.059;2009.05;2063.69;335
471.584;657.389;2069.23;1360.27;336
445.508;398.552;1569.82;3139.84;337
571.121;644.204;1912.17;2102.96;338
649.781;771.254;1858.19;1407.04;339
543.643;349.313;1788.07;1446.43;340
486.948;497.841;1647.25;1660.57;341
632.963;917.002;1716;1401.8;342
670.842;758.413;1682.09;1536.53;343
1169.7;791.202;2393.22;1908.03;344
736.674;693.577;1504.52;988.169;345
469.395;561.16;1662.76;1497.17;346
449.211;387.563;1696.61;2271.18;347
388.913;434.182;2009.79;1723.12;348
1234.36;746.041;1809.11;1246.25;349
635.977;754.595;1769.34;1497.67;350
432.839;429.383;1645.8;2054.72;351
620.076;907.818;2061.89;1404.82;352
485.486;647.78;2054.4;930.287;353
523.12;491.126;1790.47;1657.43;354
528.411;406.74;1801.84;1692.08;355
405.248;544.184;2158.41;1509.39;356
494.654;850.638;2396.27;2184.15;357
374.411;532.694;1789.49;2216.21;358
759.096;535.894;1504.21;1107.49;359
514.117;394.816;1610.59;1474.19;360
578.858;546.2;1573.3;1252.69;361
421.191;545.424;1830.56;2570.24;362
534.497;379.255;1454.58;880.373;363
434.969;895.986;1566.47;1587.72;364
399.818;563.766;1402.52;1798.11;365
